approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00467,INT_0290,15.0,23.0,5
APP_00468,INT_0290,14.0,9.0,5
APP_00469,INT_0291,30.0,36.0,5
APP_00470,INT_0291,65.0,9.0,5
APP_00471,INT_0292,27.0,24.0,5
APP_00472,INT_0292,38.0,29.0,5
APP_00473,INT_0292,25.0,17.0,5
APP_00474,INT_0294,47.0,1.0,5
APP_00475,INT_0294,51.0,2.0,5
APP_00476,INT_0295,39.0,12.0,5
APP_00477,INT_0295,55.0,9.0,5
APP_00478,INT_0295,41.0,4.0,5
APP_00479,INT_0297,49.0,37.0,5
APP_00480,INT_0297,75.0,0.0,5
APP_00481,INT_0299,33.0,17.0,5
APP_00482,INT_0299,26.0,7.0,5
APP_00483,INT_0300,29.0,26.0,5
APP_00484,INT_0300,25.0,5.0,5
APP_00485,INT_0303,51.0,2.0,5
APP_00486,INT_0305,37.0,28.0,5
APP_00487,INT_0305,21.0,0.0,5
APP_00488,INT_0307,38.0,9.0,5
APP_00489,INT_0307,36.0,35.0,5
APP_00490,INT_0307,80.0,55.0,5
APP_00491,INT_0308,46.0,12.0,5
APP_00492,INT_0308,48.0,30.0,5
APP_00493,INT_0308,40.0,9.0,5
APP_00494,INT_0308,61.0,37.0,5
APP_00495,INT_0309,25.0,28.0,5
APP_00496,INT_0309,38.0,11.0,5
APP_00497,INT_0309,38.0,12.0,5
APP_00498,INT_0311,69.0,11.0,5
APP_00499,INT_0311,22.0,24.0,5
APP_00500,INT_0312,59.0,2.0,5
APP_00501,INT_0312,26.0,18.0,5
APP_00502,INT_0312,30.0,5.0,5
APP_00503,INT_0313,47.0,0.0,5
APP_00504,INT_0314,26.0,8.5,3
APP_00505,INT_0314,21.0,2.0,5
APP_00506,INT_0315,24.0,5.0,5
APP_00507,INT_0315,45.0,1.0,5
APP_00508,INT_0316,59.0,10.0,5
APP_00509,INT_0316,80.0,0.0,5
APP_00510,INT_0316,49.0,3.0,5
APP_00511,INT_0317,38.0,9.0,5
APP_00512,INT_0317,45.0,2.0,5
APP_00513,INT_0318,35.0,3.0,5
APP_00514,INT_0318,60.0,18.0,5
